name;Implementing.Jurisdictions;Affected.Jurisdictions;comtrade;gta.name;ISO;UN;gta.id;G20;N10;EU.G20;EU27;EU28;euro.area;LDC;BACI;sacu;mercosur;CU
Martinique;Martinique;Martinique;Martinique;Martinique;na;474;128;0;0;0;0;0;0;0;;0;0;0
Mauritania;Mauritania;Mauritania;Mauritania;Mauritania;MRT;478;129;0;0;0;0;0;0;1;478;0;0;0
Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;MUS;480;130;0;0;0;0;0;0;0;480;0;0;0
Mayotte;Mayotte;Mayotte;Mayotte;Mayotte;na;175;131;0;0;0;0;0;0;0;;0;0;0
Mexico;Mexico;Mexico;Mexico;Mexico;MEX;484;132;1;0;0;0;0;0;0;484;0;0;0
Micronesia;Micronesia;Micronesia;Micronesia;Micronesia;na;583;133;0;0;0;0;0;0;0;583;0;0;0
na;na;na;FS Micronesia;Micronesia;na;583;133;0;0;0;0;0;0;0;583;0;0;0
Monaco;Monaco;Monaco;Monaco;Monaco;na;492;134;0;0;0;0;0;0;0;;0;0;0
Mongolia;Mongolia;Mongolia;Mongolia;Mongolia;MNG;496;135;0;0;0;0;0;0;0;496;0;0;0
Montenegro;Montenegro;Montenegro;Montenegro;Montenegro;MNE;499;136;0;0;0;0;0;0;0;;0;0;0
Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;na;500;137;0;0;0;0;0;0;0;500;0;0;0
Morocco;Morocco;Morocco;Morocco;Morocco;MAR;504;138;0;0;0;0;0;0;0;504;0;0;0
Mozambique;Mozambique;Mozambique;Mozambique;Mozambique;MOZ;508;139;0;0;0;0;0;0;1;508;0;0;0
Myanmar;Myanmar;Myanmar;Myanmar;Myanmar;MMR;104;140;0;0;0;0;0;0;1;104;0;0;0
Namibia;Namibia;Namibia;Namibia;Namibia;NAM;516;141;0;0;0;0;0;0;0;;1;0;0
Nauru;Nauru;Nauru;Nauru;Nauru;na;520;142;0;0;0;0;0;0;0;520;0;0;0
Nepal;Nepal;Nepal;Nepal;Nepal;NPL;524;143;0;0;0;0;0;0;1;524;0;0;0
Netherlands;Netherlands;Netherlands;Netherlands;Netherlands;NLD;528;144;0;0;0;1;1;1;0;528;0;0;0
Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;na;532;145;0;0;0;0;0;0;0;530;0;0;0
na;na;na;Neth. Antilles;Netherlands Antilles;na;532;145;0;0;0;0;0;0;0;530;0;0;0
New Caledonia;New Caledonia;New Caledonia;New Caledonia;New Caledonia;NCL;540;146;0;0;0;0;0;0;0;540;0;0;0
New Zealand;New Zealand;New Zealand;New Zealand;New Zealand;NZL;554;147;0;0;0;0;0;0;0;554;0;0;0
Nicaragua;Nicaragua;Nicaragua;Nicaragua;Nicaragua;NIC;558;148;0;0;0;0;0;0;0;558;0;0;0
Niger;Niger;Niger;Niger;Niger;NER;562;149;0;0;0;0;0;0;1;562;0;0;0
Nigeria;Nigeria;Nigeria;Nigeria;Nigeria;NGA;566;150;0;0;0;0;0;0;0;566;0;0;0
Niue;Niue;Niue;Niue;Niue;na;570;151;0;0;0;0;0;0;0;570;0;0;0
