year_month,World trade,World imports,Advanced economies,United States,Japan,Euro Area,Other advanced economies,Emerging economies,Emerging Asia,Eastern Europe / CIS,Latin America,Africa and Middle East,World exports,Advanced economies1,United States1,Japan1,Euro Area1,Other advanced economies1,Emerging economies1,Emerging Asia1,Eastern Europe / CIS1,Latin America1,Africa and Middle East1,World trade1,World imports1,Advanced economies2,United States2,Japan2,Euro Area2,Other advanced economies2,Emerging economies2,Emerging Asia2,Eastern Europe / CIS2,Latin America2,Africa and Middle East2,World exports1,Advanced economies3,United States3,Japan3,Euro Area3,Other advanced economies3,Emerging economies3,Emerging Asia3,Eastern Europe / CIS3,Latin America3,Africa and Middle East3,Fuels (HWWI),Primary commodities excluding fuels (HWWI)
2010-06,101.26104034527602,101.41162632218395,101.93784732284119,103.00285062133662,102.43730761580309,101.28898277466601,102.02176687749323,100.57660528473042,100.9777021092362,99.525567025424607,97.660088431290902,102.03435321265971,101.11045436836808,100.55410701604913,98.869896899511943,99.980798707803118,100.82391195317183,101.23869008539663,101.86595778728316,102.66964369731006,99.480109801777104,99.115907735414524,102.05997024628454,96.395687661201364,96.558758783054429,95.302327435440347,98.744659875123219,97.093546592167783,93.259418752936,95.375857690568765,98.569975011417597,98.700685799752208,96.358737638556889,99.67982469149112,97.603019358809235,96.2326165393483,94.666873100546582,99.248730964467015,97.107058238306294,92.828310189681574,94.557353072427006,98.333525150613994,99.071016271437642,97.256047710142823,96.739590188883483,96.811735387296395,96.169555138536268,92.636170579119565
2010-07,100.70191883402083,100.64535619602562,100.70083170421722,101.39114894763992,101.88925291202833,100.21615566201899,100.60969921317088,100.5573262307722,100.48237320498629,101.46895296625669,101.29185315240001,99.704130094120131,100.75848147201604,100.88636670828033,101.64012849938159,102.56701278067646,100.97074128983408,99.708549022894175,100.58481706465665,100.75016399425654,99.636376895166109,98.78318854463177,102.07851573292633,98.63554373033864,98.656796263233048,98.368482121588556,98.744659875123219,99.488397154518836,98.060193776738259,98.242916242450207,99.104251202232589,99.003075049072777,98.171994925356074,99.15119153081865,99.852586332970589,98.614291197444231,98.15349014351338,99.086294416243661,98.509767482621655,97.490256667414045,98.681730807132169,99.242613810526052,99.935322712634232,94.690747209974631,99.562269099180412,98.470524345332649,96.765647422452815,99.799116110887923
2010-08,101.03301320560429,101.30515714623017,101.62356007154975,104.06433392024474,101.78895414199589,100.6286046628863,101.27573019642259,100.79990718338837,101.31924543478794,103.70541117643319,101.14279462787469,96.029026649338505,100.76086926497841,100.85672853837016,100.98487031188769,100.71704220164706,101.23860216671389,100.13410556311248,100.63069517772824,100.54547819817866,97.785054771439022,102.53349697067245,101.11339514272075,99.649068787535086,99.754062280299507,99.308902132251731,99.13900755833059,101.5475310722714,98.75575160367228,99.71206831314079,100.45515683083258,99.509438635066303,103.88481823167986,101.74693648639982,102.26388654076202,99.544075294770664,99.256911564859578,99.898477157360404,102.43764032676864,98.206631338390196,99.685234246982674,99.935492923997614,100.62017745813573,95.307442734122787,99.759484238589266,99.655992691781478,96.434485042499176,104.00045916317512
2010-09,100.98601918129802,101.0741532203217,101.48613822362852,103.62600984527434,100.8227042370345,100.55848277282985,101.51097429156019,100.42040480578314,100.21469334865189,106.03220046891319,103.55389067856402,95.239817281218237,100.89788514227433,101.25047580178168,100.6994313813921,101.00418831446117,101.75173298652075,100.74112506786004,100.4190773477825,99.827132786059835,101.03344688809412,102.31883563879852,101.13576218076038,100.6098811610791,100.47713910272952,100.19377231170407,99.13900755833059,102.0891728137814,100.11709013144683,100.63659962175609,100.91989083102736,100.09412498866651,103.08678929417056,100.92150953046344,104.15282292956566,100.74262321942868,100.47003699846086,100.46700507614214,101.59362645549945,99.777858623891802,101.33597757041353,101.11622434553769,101.31669993983773,99.692551759223505,101.99292214914387,100.21887925139633,95.97085771056409,107.92630431039431
2010-10,102.57271418406887,102.20812157582296,102.55375769331067,103.40223492044325,101.14319359073588,102.37434354865584,102.58306100242596,101.65965728221721,101.48649583222027,107.99317674120719,102.87118622637529,97.971550534786417,102.93730679231477,103.95159778214757,104.5242323186303,101.92324052547777,104.63522584743217,103.07950446633301,101.55992931869278,102.20956535432423,99.794796569069376,100.20543887198278,100.7978328694219,104.12228560269182,104.06173549436554,104.77836081973189,100.24318107131118,107.36834705119124,106.42373219213987,104.95727675022496,102.90065273400313,102.22028009029596,103.96909011459326,102.06202512873281,106.82682175507976,104.18283571101809,104.99007715938973,101.27918781725889,106.3966174287403,105.83618615714123,105.09655336351867,103.05978034079311,102.33238998446464,102.8018563417957,105.71344676054117,104.33736070004628,101.60061816977593,110.75015783734146
2010-11,103.70263113528787,103.72566875706426,103.41672316632965,101.46986295895255,101.63284828525482,104.54052469997826,103.62311309356613,104.21591157779862,104.29147234060501,111.79982338949081,107.56562566304348,96.208055121439557,103.67959351351149,103.77851149312214,103.67795813462011,102.63788533064968,104.29523365295654,103.29174764017077,103.54526579275124,104.73723981232877,100.88611302116452,102.12634021953087,100.77263713945287,104.31602376366232,104.27652428413812,104.36965638723323,101.8994413407821,108.33236169655524,104.84387802500387,104.37487620724191,104.11856671784552,103.98092172773316,101.74502173730743,101.36534407298859,109.38153844303369,104.35552324318651,104.39846817355237,102.82233502538071,105.5222725605563,104.287573637756,105.11019966160765,104.29740952871005,103.6106757795655,102.37591967397725,106.75978957996826,106.67377337075723,105.50833425322885,113.71176031682259
2010-12,103.61229915265807,103.21174514147123,102.94663304004945,103.35112725452261,102.07807825791699,102.16508968023625,104.18760882823041,103.63243185236678,103.61379437178223,113.64794555735965,106.23258902917394,95.659768232332937,104.01285316384491,103.74047884398826,105.2295530381972,105.24133415161998,102.26561112150607,105.04499424233494,104.38272951720344,104.7548864163508,104.04728350987108,106.27054478418088,101.0142162538518,104.60037029110345,104.75741661421705,103.88257246630268,103.31909300032861,106.34783604222048,103.60154273909406,104.0864901429435,106.12688062187979,105.72981591579833,102.54321099643046,104.85757410159856,111.94636622298739,104.44332396798985,103.37546929319934,103.55329949238579,103.40704056739214,102.51240503487551,104.78034419608402,105.88602458582177,103.81855038225571,113.1520956447804,106.68973699197898,110.69279589327404,113.85362622806051,118.32635022671184
2011-01,105.01230152496592,105.06841495921019,104.37001771305565,106.82315950609056,101.85015118173288,103.24460458450814,105.01782363231787,106.17664969767598,107.53881714691033,113.09929261563214,105.70860121337995,95.493688179731421,104.95618809072164,105.29580236563871,105.0878897173761,101.98121519784382,104.62369916266083,107.80004593179589,104.49500184665536,106.37387379616936,96.188208327045118,101.90522291904499,103.12644512978056,107.77759762735558,108.10973651627405,107.38505050006934,104.89648373315805,110.82895667068635,107.9609314594888,107.49608639885012,109.23080450284023,109.33346103619412,103.95503291662861,106.12437095128521,115.22879546209074,107.4454587384371,106.21579786936164,104.85279187817258,105.0594264479588,105.63669196640348,108.37851778271536,109.12927029567773,107.18472456475403,112.44468693967775,113.92533194297525,112.46516129707076,117.62887735953197,126.10916604488321
2011-02,104.15972949380256,103.73699390670727,102.88278114113002,102.38056518726029,101.73112310506878,103.00855626389824,103.41432227091684,105.09248072465525,105.29664820060202,117.72469433447196,108.31795057560448,93.837335114185834,104.58246508089785,105.02376777213885,102.27943392274072,105.38521790114807,104.34650681808343,107.72576468616143,103.9831889441116,105.29188084358647,100.09641821016797,100.88984639508041,103.0041261661798,110.05882580245355,110.21501583217294,109.58492548051061,106.71048307591192,110.6218252444052,110.94386836454026,109.30363614661026,111.18448993481391,111.70718623453313,105.72898006503205,106.8752579616261,116.52650332476341,109.90263577273417,108.32552544563205,106.23350253807108,105.13542485692113,108.53550019925362,110.17825258855335,112.06710802290235,108.82465963065131,130.83743826470035,115.13255455984404,113.592480470848,121.27166353902197,130.58600700223843
2011-03,104.76684584947071,104.527141607918,103.55712046344584,103.45194095168986,101.88472969745098,103.04553360461729,104.99151544067753,106.06639614431478,105.0248829380577,119.56621785607423,109.95383958102633,100.52370317309583,105.00655009102343,104.22258023499961,106.83749495135308,94.218692665940253,105.28537886381945,104.25725565357197,106.07115820694888,107.79585141829946,102.80741126153495,101.77978162115876,103.7754616340976,112.80835330434007,113.23368954715274,113.15103659565452,109.86526454157081,113.62829557539541,115.26280181024393,112.1409457924922,113.35130731256912,113.88445504325789,108.99041517570951,108.06485902530653,118.87662150970311,112.38301706152741,111.16293191811459,107.77664974619289,106.29782347582234,111.86319537947472,113.39616160214604,114.01307343465548,111.16990330468231,124.21269771152437,116.291052408609,119.77152128438316,133.25974169334364,127.07340871262126
